Country,Arrivals in 2017
Australia,9281340
New Zealand,1876970
Papua New Guinea,41030
Solomon Islands,6430
Vanuatu,6500
Kiribati,1330
Marshall Islands,120
Micronesia ,170
Nauru,4060
Palau,70
Fiji,46860
Samoa,6170
Tonga,14050
Tuvalu,400
United Kingdom,1033530
Ireland,113380
Austria,24540
Belgium,25680
France,223450
Germany,259050
Liechtenstein,190
Luxembourg,1150
Monaco,60
Netherlands,92870
Switzerland,51460
Denmark,34870
Finland,19390
Iceland,1410
Norway,24930
Sweden,52360
Andorra,70
Holy See,20
Italy,107420
Malta,2780
Portugal,17140
San Marino,40
Spain,49740
Albania,750
Bosnia and Herzegovina,1460
Bulgaria,3280
Croatia,4790
Cyprus,2020
North Macedonia,3020
Greece,10730
Moldova,220
Romania,6460
Slovenia,3390
Montenegro,340
Serbia,4050
Kosovo,250
Belarus,1070
Czech Republic,13470
Estonia,6030
Hungary,9680
Latvia,1890
Lithuania,3530
Poland,26270
Russian Federation,23330
Slovakia,7080
Ukraine,6210
Algeria,350
Egypt,8570
Libya,100
Morocco,970
Sudan,980
Tunisia,370
South Sudan,490
Bahrain,610
Iran,28640
Iraq,9560
Israel,13500
Jordan,4160
Kuwait,3880
Lebanon,11340
Oman,2830
Qatar,650
Saudi Arabia,17150
Syria,5480
Turkey,11610
United Arab Emirates,7140
Yemen,370
Myanmar ,12230
Cambodia,14110
Laos,2680
Thailand,106550
Vietnam,131680
Brunei Darussalam,5360
Indonesia,241240
Malaysia,540560
Philippines,184520
Singapore,346340
Timor-Leste,3260
China ,1685330
Hong Kong,222590
Macau ,6370
Mongolia,5830
Taiwan,190970
Japan,479490
South Korea,341250
Bangladesh,29500
Bhutan,3210
India,539170
Maldives,1250
Nepal,54410
Pakistan,49920
Sri Lanka,68850
Afghanistan,11750
Armenia,390
Azerbaijan,370
Georgia,220
Kazakhstan,1640
Kyrgyzstan,190
Tajikistan,30
Turkmenistan,30
Uzbekistan,770
Canada,202360
United States of America,707980
Argentina,21600
Bolivia ,400
Brazil,68960
Chile,27070
Colombia,24080
Ecuador,1630
Guyana,90
Paraguay,380
Peru,5580
Suriname,40
Uruguay,2180
Venezuela,2960
Belize,50
Costa Rica,850
El Salvador,490
Guatemala,490
Honduras,280
Mexico,13460
Nicaragua,90
Panama,270
Antigua and Barbuda,70
Bahamas,110
Barbados,180
Cuba,290
Dominica,40
Dominican Republic,370
Grenada,40
Haiti,70
Jamaica,510
St Kitts and Nevis,100
St Lucia,60
St Vincent and the Grenadines,40
Trinidad and Tobago,800
Benin,10
Burkina Faso,10
Cameroon,210
Central African Republic,10
Congo ,700
Côte d'Ivoire,130
Gambia,0
Ghana,1620
Guinea,110
Liberia,240
Mali,60
Niger,50
Nigeria,4820
Senegal,70
Sierra Leone,280
Togo,30
Angola,80
Botswana,840
Burundi,160
Comoros,10
Djibouti,10
Eritrea,800
Ethiopia,1730
Kenya,7660
Lesotho,100
Madagascar,190
Malawi,330
Mauritius,10940
Mozambique,250
Namibia,460
Rwanda,150
Seychelles,420
Somalia,400
South Africa,74830
Eswatini,60
Tanzania,910
Uganda,900
Zambia,1390
Zimbabwe,6690
,
