Country,Arrivals in 2021
Australia,566860
New Zealand,612920
Papua New Guinea,1120
Solomon Islands,2520
Vanuatu,10780
Kiribati,0
Marshall Islands,0
Micronesia ,0
Nauru,140
Palau,0
Fiji,1960
Samoa,7420
Tonga,4900
Tuvalu,0
United Kingdom,30100
Ireland,3920
Austria,420
Belgium,560
France,5740
Germany,4480
Liechtenstein,0
Luxembourg,0
Monaco,0
Netherlands,2520
Switzerland,560
Denmark,700
Finland,420
Iceland,0
Norway,560
Sweden,980
Andorra,0
Holy See,0
Italy,2800
Malta,140
Portugal,700
San Marino,0
Spain,1540
Albania,0
Bosnia and Herzegovina,0
Bulgaria,140
Croatia,420
Cyprus,0
North Macedonia,140
Greece,420
Moldova,0
Romania,420
Slovenia,280
Montenegro,0
Serbia,140
Kosovo,0
Belarus,140
Czech Republic,700
Estonia,140
Hungary,280
Latvia,280
Lithuania,140
Poland,700
Russian Federation,1260
Slovakia,280
Ukraine,1260
Algeria,0
Egypt,1400
Libya,0
Morocco,140
Sudan,140
Tunisia,0
South Sudan,140
Bahrain,0
Iran,2520
Iraq,980
Israel,700
Jordan,280
Kuwait,0
Lebanon,980
Oman,140
Qatar,140
Saudi Arabia,420
Syria,420
Turkey,560
United Arab Emirates,280
Yemen,0
Myanmar ,560
Cambodia,560
Laos,0
Thailand,2520
Vietnam,4900
Brunei Darussalam,140
Indonesia,4200
Malaysia,5180
Philippines,12180
Singapore,4200
Timor-Leste,140
China ,26320
Hong Kong,4760
Macau ,0
Mongolia,140
Taiwan,1120
Japan,4060
South Korea,3080
Bangladesh,1680
Bhutan,0
India,25480
Maldives,140
Nepal,840
Pakistan,3780
Sri Lanka,2940
Afghanistan,4900
Armenia,0
Azerbaijan,140
Georgia,140
Kazakhstan,0
Kyrgyzstan,0
Tajikistan,0
Turkmenistan,0
Uzbekistan,0
Canada,4480
United States of America,18060
Argentina,560
Bolivia ,0
Brazil,1820
Chile,560
Colombia,700
Ecuador,0
Guyana,0
Paraguay,0
Peru,140
Suriname,0
Uruguay,140
Venezuela,140
Belize,0
Costa Rica,0
El Salvador,0
Guatemala,0
Honduras,140
Mexico,420
Nicaragua,0
Panama,0
Antigua and Barbuda,0
Bahamas,0
Barbados,0
Cuba,0
Dominica,0
Dominican Republic,0
Grenada,0
Haiti,0
Jamaica,0
St Kitts and Nevis,0
St Lucia,0
St Vincent and the Grenadines,0
Trinidad and Tobago,0
Benin,0
Burkina Faso,0
Cameroon,0
Central African Republic,0
Congo ,0
Côte d'Ivoire,0
Gambia,0
Ghana,280
Guinea,140
Liberia,140
Mali,0
Niger,0
Nigeria,980
Senegal,0
Sierra Leone,0
Togo,0
Angola,0
Botswana,0
Burundi,0
Comoros,0
Djibouti,0
Eritrea,0
Ethiopia,560
Kenya,420
Lesotho,0
Madagascar,0
Malawi,0
Mauritius,140
Mozambique,0
Namibia,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,5180
Eswatini,0
Tanzania,140
Uganda,0
Zambia,140
Zimbabwe,560
